,SettlementPoint,Year,Month,AveragePrice
266,HB_WEST,2018,08,31.575437415881566
267,HB_WEST,2018,09,26.151835883171067
268,HB_WEST,2018,10,28.775814266487213
269,HB_WEST,2018,11,28.72534075104311
270,HB_WEST,2018,12,29.98243606998654
271,HB_WEST,2019,01,23.88512786002692
272,HB_WEST,2019,02,20.489329359165424
273,HB_WEST,2019,03,25.677075471698114
274,HB_WEST,2019,04,19.54642559109875
275,HB_WEST,2019,05,22.697846567967698
276,HB_WEST,2019,06,24.71166898470097
277,HB_WEST,2019,07,29.47387617765814
278,HB_WEST,2019,08,126.46446837146704
279,HB_WEST,2019,09,78.51767732962448
280,HB_WEST,2019,10,24.683849259757736
281,HB_WEST,2019,11,21.66952712100139
282,LZ_AEN,2016,01,18.73399462004035
283,LZ_AEN,2016,02,15.456517985611512
284,LZ_AEN,2016,03,16.867169811320757
285,LZ_AEN,2016,04,18.26200278164117
286,LZ_AEN,2016,05,18.132462987886946
287,LZ_AEN,2016,06,24.25004172461752
288,LZ_AEN,2016,07,27.987711978465683
289,LZ_AEN,2016,08,30.71585464333782
290,LZ_AEN,2016,09,26.721196105702365
291,LZ_AEN,2016,10,25.63185733512786
292,LZ_AEN,2016,11,19.646411682892907
293,LZ_AEN,2016,12,25.88021534320323
294,LZ_AEN,2017,01,23.404710632570662
295,LZ_AEN,2017,02,20.617764530551415
296,LZ_AEN,2017,03,23.012291105121296
297,LZ_AEN,2017,04,24.13279554937413
298,LZ_AEN,2017,05,25.30028263795424
299,LZ_AEN,2017,06,27.92546592489569
300,LZ_AEN,2017,07,31.40834454912517
301,LZ_AEN,2017,08,27.4742530282638
302,LZ_AEN,2017,09,24.636773296244783
303,LZ_AEN,2017,10,24.025760430686407
304,LZ_AEN,2017,11,23.027093184979137
305,LZ_AEN,2017,12,21.068142664872138
306,LZ_AEN,2018,01,38.85371467025572
307,LZ_AEN,2018,02,21.92651266766021
308,LZ_AEN,2018,03,22.217075471698113
309,LZ_AEN,2018,04,22.198706536856744
310,LZ_AEN,2018,05,33.198667563930016
311,LZ_AEN,2018,06,30.30146036161335
312,LZ_AEN,2018,07,79.02432032301479
313,LZ_AEN,2018,08,31.747698519515477
314,LZ_AEN,2018,09,27.178386648122395
315,LZ_AEN,2018,10,30.32551816958277
316,LZ_AEN,2018,11,30.48058414464534
317,LZ_AEN,2018,12,30.11528936742934
318,LZ_AEN,2019,01,25.11410497981157
319,LZ_AEN,2019,02,21.51321907600596
320,LZ_AEN,2019,03,27.75382749326145
321,LZ_AEN,2019,04,23.269652294853966
